date,game_id,team,before_rank,before,after,change,opponent,opponent_before,result,my_score,opponent_score,tournament,importance,expected
2022-06-03 10:00:00,99086,Colombia,11,1440.0,1438.41,-1.59,Panama,1408.0,L,2,15,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5307
2022-06-03 10:00:00,99086,Panama,13,1408.0,1409.59,1.59,Colombia,1440.0,W,15,2,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4693
2022-06-04 09:00:00,99088,Cuba,9,1472.0,1472.98,0.98,Colombia,1438.41,W,8,7,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5322
2022-06-04 09:00:00,99088,Colombia,11,1438.41,1437.43,-0.98,Cuba,1472.0,L,7,8,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4678
2022-06-04 13:00:00,99089,Panama,13,1409.59,1411.24,1.65,Venezuela,1504.0,W,9,1,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4104
2022-06-04 13:00:00,99089,Venezuela,7,1504.0,1502.35,-1.65,Panama,1409.59,L,1,9,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5896
2022-06-05 09:00:00,99099,Puerto Rico,16,1360.0,1361.33,1.33,Cuba,1472.98,W,4,2,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.3933
2022-06-05 09:00:00,99099,Cuba,9,1472.98,1471.65,-1.33,Puerto Rico,1360.0,L,2,4,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.6067
2022-06-05 13:00:00,99098,Venezuela,7,1502.35,1503.59,1.24,Dominican Republic,1520.0,W,8,4,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4831
2022-06-05 13:00:00,99098,Dominican Republic,6,1520.0,1518.76,-1.24,Venezuela,1502.35,L,4,8,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5169
2022-06-06 09:00:00,99100,Dominican Republic,6,1518.76,1517.32,-1.44,Panama,1411.24,L,3,7,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.6017
2022-06-06 09:00:00,99100,Panama,13,1411.24,1412.69,1.44,Dominican Republic,1518.76,W,7,3,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.3983
2022-06-06 13:00:00,99097,Colombia,11,1437.43,1435.88,-1.55,Puerto Rico,1361.33,L,2,9,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5725
2022-06-06 13:00:00,99097,Puerto Rico,16,1361.33,1362.88,1.55,Colombia,1437.43,W,9,2,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4275
2022-06-06 17:30:00,99094,Cuba,9,1471.65,1472.81,1.17,Venezuela,1503.59,W,6,4,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4694
2022-06-06 17:30:00,99094,Venezuela,7,1503.59,1502.42,-1.17,Cuba,1471.65,L,4,6,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5306
2022-06-07 09:00:00,99092,Panama,13,1412.69,1411.21,-1.48,Puerto Rico,1362.88,L,4,11,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5476
2022-06-07 09:00:00,99092,Puerto Rico,16,1362.88,1364.36,1.48,Panama,1412.69,W,11,4,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4524
2022-06-07 13:00:00,99248,Dominican Republic,6,1517.32,1515.69,-1.63,Cuba,1472.81,L,2,12,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5426
2022-06-07 13:00:00,99248,Cuba,9,1472.81,1474.44,1.63,Dominican Republic,1517.32,W,12,2,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4574
2022-06-08 09:00:00,99095,Cuba,9,1474.44,1475.37,0.92,Panama,1411.21,W,13,12,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5604
2022-06-08 09:00:00,99095,Panama,13,1411.21,1410.29,-0.92,Cuba,1474.44,L,12,13,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4396
2022-06-08 10:00:00,99093,Dominican Republic,6,1515.69,1514.31,-1.38,Colombia,1435.88,L,8,12,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.576
2022-06-08 10:00:00,99093,Colombia,11,1435.88,1437.26,1.38,Dominican Republic,1515.69,W,12,8,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.424
2022-06-08 13:00:00,99087,Venezuela,7,1502.42,1503.2,0.78,Puerto Rico,1364.36,W,9,8,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.6294
2022-06-08 13:00:00,99087,Puerto Rico,16,1364.36,1363.58,-0.78,Venezuela,1502.42,L,8,9,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.3706
2022-06-09 10:00:00,99090,Puerto Rico,16,1363.58,1362.68,-0.9,Dominican Republic,1514.31,L,5,10,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.3593
2022-06-09 10:00:00,99090,Dominican Republic,6,1514.31,1515.2,0.9,Puerto Rico,1363.58,W,10,5,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.6407
2022-06-09 15:00:00,99096,Venezuela,7,1503.2,1504.47,1.27,Colombia,1437.26,W,11,2,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5629
2022-06-09 15:00:00,99096,Colombia,11,1437.26,1435.99,-1.27,Venezuela,1503.2,L,2,11,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4371
2022-06-10 10:00:00,99102,Puerto Rico,16,1362.68,1361.73,-0.95,Panama,1410.29,L,11,12,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4545
2022-06-10 10:00:00,99102,Panama,13,1410.29,1411.24,0.95,Puerto Rico,1362.68,W,12,11,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.5455
2022-06-10 10:00:00,99570,Puerto Rico,16,1361.73,1362.51,0.78,Guatemala,800.0,W,11,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.8962
2022-06-10 10:00:00,99570,Guatemala,60,800.0,799.22,-0.78,Puerto Rico,1361.73,L,0,11,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.1038
2022-06-10 12:00:00,99572,Cuba,9,1475.37,1477.21,1.85,Argentina,1184.0,W,11,0,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.7536
2022-06-10 12:00:00,99572,Argentina,27,1184.0,1182.15,-1.85,Cuba,1475.37,L,0,11,U-23 Men´s Baseball World Cup Americas Qualifier 2022,5.0,0.2464
2022-06-10 13:00:00,99101,Cuba,9,1477.21,1475.93,-1.28,Venezuela,1504.47,L,0,7,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,2.0,0.4739
